Code;PG_class;STYLE;LOD;Layer;OSM_Tags;Description;Enabled;Icon
0;NO_CLASS;NO_STYLE;2;roads;;Не отображается;0;
1;ROAD_MAJOR;DARK_GRAY_THICK_LINE;2;roads;highway=motorway;Автомагистраль;1;
1;ROAD_MAJOR;DARK_GRAY_THICK_LINE;2;roads;highway=trunk;Магистраль;1;
2;ROAD_NORMAL;DARK_GRAY_SEMITHICK_LINE;2;roads;highway=primary;Главная дорога;1;
2;ROAD_NORMAL;DARK_GRAY_SEMITHICK_LINE;2;roads;highway=secondary;Второстепенная дорога;1;
2;ROAD_NORMAL;DARK_GRAY_SEMITHICK_LINE;1;roads;highway=tertiary;Местная дорога;1;
3;ROAD_MINOR;DARK_GRAY_LINE;1;roads;highway=unclassified;Дорога неизвестная;1;
3;ROAD_MINOR;DARK_GRAY_LINE;1;roads;highway=residential;Жилая улица;1;
3;ROAD_MINOR;DARK_GRAY_LINE;1;roads;highway=living_street;Жилая зона;1;
6;ROAD_PATH;DARK_GRAY_DOTTED_LINE;0;roads;highway=pedestrian;Пешеходная зона;1;
3;ROAD_MINOR;DARK_GRAY_LINE;0;roads;highway=busway;Автобусная полоса;1;
4;ROAD_NORMAL;DARK_GRAY_SEMITHICK_LINE;2;roads;highway=motorway_link;Съезд с автомагистрали;1;
4;ROAD_NORMAL;DARK_GRAY_SEMITHICK_LINE;2;roads;highway=trunk_link;Съезд с магистрали;1;
4;ROAD_NORMAL;DARK_GRAY_SEMITHICK_LINE;2;roads;highway=primary_link;Съезд с главной дороги;1;
4;ROAD_NORMAL;DARK_GRAY_SEMITHICK_LINE;2;roads;highway=secondary_link;Съезд со второст. дороги;1;
4;ROAD_NORMAL;DARK_GRAY_SEMITHICK_LINE;1;roads;highway=tertiary_link;Съезд с местной дороги;1;
3;ROAD_MINOR;DARK_GRAY_LINE;1;roads;highway=service;Служебный проезд;1;
5;ROAD_UNPAVED;DARK_GRAY_DASHED_LINE;1;roads;highway=track;Грунтовая дорога;1;
4;ROAD_MINOR;DARK_GRAY_LINE;1;roads;tracktype=grade1;Грунтовка (1 класс);1;
5;ROAD_UNPAVED;DARK_GRAY_DASHED_LINE;1;roads;tracktype=grade2;Грунтовка (2 класс);1;
5;ROAD_UNPAVED;DARK_GRAY_DASHED_LINE;1;roads;tracktype=grade3;Грунтовка (3 класс);1;
5;ROAD_UNPAVED;DARK_GRAY_DASHED_LINE;0;roads;tracktype=grade4;Грунтовка (4 класс);1;
5;ROAD_UNPAVED;DARK_GRAY_DASHED_LINE;0;roads;tracktype=grade5;Грунтовка (5 класс);1;
6;ROAD_PATH;DARK_GRAY_DOTTED_LINE;0;roads;highway=bridleway;Конная тропа;1;
6;ROAD_PATH;DARK_GRAY_DOTTED_LINE;0;roads;highway=cycleway;Велодорожка;1;
6;ROAD_PATH;DARK_GRAY_DOTTED_LINE;0;roads;highway=footway;Пешеходная дорожка;1;
6;ROAD_PATH;DARK_GRAY_DOTTED_LINE;0;roads;highway=path;Тропинка;1;
6;ROAD_PATH;DARK_GRAY_DOTTED_LINE;0;roads;highway=steps;Ступени;0;
4;ROAD_MINOR;DARK_GRAY_LINE;1;roads;highway=road;Неизвестная дорога;1;
7;RAILWAY;RAILWAY_LINE;2;roads;railway=rail;Железная дорога;1;
7;RAILWAY;RAILWAY_LINE;1;roads;railway=construction;Железная дорога;1;
7;RAILWAY;RAILWAY_LINE;1;roads;railway=disused;Железная дорога;1;
7;RAILWAY;RAILWAY_LINE;1;roads;railway=funicular;Железная дорога;1;
7;RAILWAY;RAILWAY_LINE;1;roads;railway=light_rail;Железная дорога;1;
7;RAILWAY;RAILWAY_LINE;0;roads;railway=miniature;Железная дорога;1;
7;RAILWAY;RAILWAY_LINE;2;roads;railway=monorail;Железная дорога;1;
7;RAILWAY;RAILWAY_LINE;1;roads;railway=narrow_gauge;Железная дорога;1;
8;LANDUSE_NATURAL;LIGHT_GRAY_FILL;1;landuse;landuse=forest;Лес;1;
8;LANDUSE_NATURAL;LIGHT_GRAY_FILL;1;landuse;natural=wood;Густой лес;1;
8;LANDUSE_NATURAL;LIGHT_GRAY_FILL;1;landuse;leisure=park;Парк;1;
8;LANDUSE_NATURAL;LIGHT_GRAY_FILL;1;landuse;leisure=common;Общественная территория;1;
9;LANDUSE_HUMAN;LIGHT_GRAY_FILL;1;landuse;landuse=residential;Жилая зона;1;
9;LANDUSE_HUMAN;LIGHT_GRAY_FILL;1;landuse;landuse=industrial;Промзона;1;
9;LANDUSE_HUMAN;LIGHT_GRAY_FILL;1;landuse;landuse=cemetery;Кладбище;1;
9;LANDUSE_HUMAN;LIGHT_GRAY_FILL;1;landuse;landuse=allotments;Дачи;1;
9;LANDUSE_HUMAN;LIGHT_GRAY_FILL;1;landuse;landuse=meadow;Луг;0;
9;LANDUSE_HUMAN;LIGHT_GRAY_FILL;1;landuse;landuse=commercial;Коммерческая зона;1;
9;LANDUSE_HUMAN;LIGHT_GRAY_FILL;1;landuse;leisure=nature_reserve;Заповедник;1;
9;LANDUSE_HUMAN;LIGHT_GRAY_FILL;1;landuse;landuse=recreation_ground;Зона отдыха;1;
9;LANDUSE_HUMAN;LIGHT_GRAY_FILL;1;landuse;landuse=retail;Торговая зона;1;
9;LANDUSE_HUMAN;LIGHT_GRAY_FILL;1;landuse;landuse=military;Военный объект;1;
9;LANDUSE_HUMAN;LIGHT_GRAY_FILL;1;landuse;landuse=quarry;Карьер;1;
9;LANDUSE_HUMAN;LIGHT_GRAY_FILL;1;landuse;landuse=orchard;Фруктовый сад;1;
9;LANDUSE_HUMAN;LIGHT_GRAY_FILL;1;landuse;landuse=vineyard;Виноградник;1;
9;LANDUSE_HUMAN;LIGHT_GRAY_FILL;1;landuse;landuse=scrub;Кустарник;1;
9;LANDUSE_HUMAN;LIGHT_GRAY_FILL;1;landuse;landuse=grass;Трава;0;
9;LANDUSE_HUMAN;LIGHT_GRAY_FILL;1;landuse;natural=heath;Пустошь;0;
9;LANDUSE_HUMAN;LIGHT_GRAY_FILL;1;landuse;landuse=farmland;Фермерские угодья;0;
9;LANDUSE_HUMAN;LIGHT_GRAY_FILL;1;landuse;landuse=farmyard;Скотный двор;1;
9;LANDUSE_HUMAN;LIGHT_GRAY_FILL;1;landuse;landuse=landfill;Свалка;1;
10;WATER;DARK_GRAY_FILL;1;water;natural=water;Водоем;1;
10;WATER;DARK_GRAY_FILL;1;water;landuse=reservoir;Водохранилище;1;
10;WATER;DARK_GRAY_FILL;1;water;waterway=riverbank;Берег реки;1;
10;WATER;DARK_GRAY_FILL;1;water;water=river;Река;1;
10;WATER;DARK_GRAY_FILL;1;water;waterway=dock;Док;1;
10;WATER;DARK_GRAY_FILL;1;water;natural=glacier;Ледник;1;
10;WATER;DARK_GRAY_FILL;1;water;natural=wetland;Болото;1;
11;POI_BIG;DARK_GRAY_BIG_CIRCLE;2;pois;place=city, capital=yes;Столица;1;большой круг
11;POI_BIG;DARK_GRAY_BIG_CIRCLE;2;pois;place=city;Город;1;большой круг
11;POI_BIG;DARK_GRAY_BIG_CIRCLE;2;pois;place=town;Городок;1;большой круг
11;POI_BIG;DARK_GRAY_CIRCLE;1;pois;place=village;Деревня;1;большой круг
11;POI_BIG;DARK_GRAY_CIRCLE;1;pois;place=hamlet;Хутор;1;большой круг
11;POI_BIG;DARK_GRAY_BIG_CIRCLE;1;pois;place=suburb;Пригород;0;большой круг
11;POI_BIG;DARK_GRAY_BIG_CIRCLE;1;pois;place=island;Остров;0;большой круг
12;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;place=farm;Ферма;0;маленький круг
12;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;place=isolated_dwelling;Жилище;0;маленький круг
11;POI_BIG;DARK_GRAY_BIG_CIRCLE;2;pois;place=region;Регион;0;большой круг
11;POI_BIG;DARK_GRAY_BIG_CIRCLE;2;pois;place=county;Округ;0;большой круг
11;POI_BIG;DARK_GRAY_BIG_CIRCLE;2;pois;place=locality;Местность;0;большой круг
13;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;amenity=police;Полиция;1;щит
13;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;amenity=fire_station;Пожарная часть;1;щит
14;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;amenity=marketplace;Рынок;1;тележка
15;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;amenity=pharmacy;Аптека;1;крест
15;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;amenity=hospital;Больница;1;крест
15;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;amenity=clinic;Клиника;1;крест
15;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;amenity=doctors;Врачебный кабинет;1;крест
12;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;leisure=park;Парк;0;маленький круг
16;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;amenity=restaurant;Ресторан;1;вилка и нож
16;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;amenity=fast_food;Фастфуд;1;вилка и нож
16;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;amenity=cafe;Кафе;1;вилка и нож
32;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;amenity=pub;Паб;1;кружка
32;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;amenity=bar;Бар;1;кружка
16;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;amenity=food_court;Фуд-корт;1;вилка и нож
32;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;amenity=biergarten;Пивной сад;0;кружка
17;POI_SMALL;DARK_GRAY_CIRCLE;1;pois;tourism=hotel;Отель;1;домик
17;POI_SMALL;DARK_GRAY_CIRCLE;1;pois;tourism=motel;Мотель;1;домик
17;POI_SMALL;DARK_GRAY_CIRCLE;1;pois;tourism=bed_and_breakfast;Мини-гостиница (B&B);1;домик
17;POI_SMALL;DARK_GRAY_CIRCLE;1;pois;tourism=guest_house;Гостевой дом;1;домик
17;POI_SMALL;DARK_GRAY_CIRCLE;1;pois;tourism=hostel;Хостел;1;домик
17;POI_SMALL;DARK_GRAY_CIRCLE;0;pois;tourism=chalet;Шале;0;домик
18;POI_SMALL;DARK_GRAY_CIRCLE;1;pois;shelter_type=lean_to;Укрытие;1;палатка
18;POI_SMALL;DARK_GRAY_CIRCLE;1;pois;shelter_type=picnic_shelter;Укрытие;1;палатка
18;POI_SMALL;DARK_GRAY_CIRCLE;1;pois;shelter_type=basic_hut;Укрытие;1;палатка
